"USER";"TYPE";"BANKL";"BANKA";"NAME1";"NAME2";"NAME3";"NAME4";"BNKLZ";"REGION";"POST_CODE1";"CITI1";"CITI2";"STREET";"HOUSE_NUM1";"HOUSE_NUM2";"BUILDING";"FLOOR";"ROOMNUMBER";"STRAS";"BRNCH";"SWIFT";"TEL_NUM1";"BANK_DELETE";"fc__uuid"
;"банки";"040139000";"РКЦ МИХАЙЛОВСКОЕ";"РКЦ МИХАЙЛОВСКОЕ";"";"";"";"040139000";"22";"658960";"С. МИХАЙЛОВСКОЕ";;"УЛ.ЦЕНТРАЛЬНАЯ";"9";;;;;"УЛ.ЦЕНТРАЛЬНАЯ,9";;;"(38570)22898,22498";"X";"0ad51778-1091-410a-8381-280670e22522"
;"банки";"040147000";"РКЦ БИЙСК";"РКЦ БИЙСК";"";"";"";"040147000";"22";"659300";"Г. БИЙСК";"";"УЛ.ЛЕНИНА";"127";"";"";"";"";"УЛ.ЛЕНИНА,127";"";"";"(3854)327289,328409";"";"9d3545d7-ff41-4d25-a17e-7fed7d63a0d4"
"Киндяков 20180418 del";"банки";"040147781";"АО ""НАРОДНЫЙ ЗЕМЕЛЬНО-ПРОМЫШЛЕННЫЙ БАНК""";"АО ""НАРОДНЫЙ ЗЕМЕЛЬНО-ПРОМЫШЛЕННЫЙ БАНК""";;;;"040147781";"22";"659322";"Г. БИЙСК";;"УЛ.СОЦИАЛИСТИЧЕСКАЯ";"1";;;;;"УЛ.СОЦИАЛИСТИЧЕСКАЯ,1";"30101810700000000781";;"(3854)312685,304918";"X";"575296b6-8e42-42e8-8690-375a1c82aaf3"
;"банки";"040153000";"РКЦ БЛАГОВЕЩЕНКА";"РКЦ БЛАГОВЕЩЕНКА";"";"";"";"040153000";"22";"658670";"РП БЛАГОВЕЩЕНКА";;"УЛ.ПУШКИНА";"87";;;;;"УЛ.ПУШКИНА,87";;;"(38564)22345,22245";"X";"effd13af-f2f5-4dfa-ba0f-94fc73ea9d14"
;"банки";"040154000";"РКЦ ЗАРИНСК";"РКЦ ЗАРИНСК";"";"";"";"040154000";"22";"659106";"Г. ЗАРИНСК";;"УЛ.КОМСОМОЛЬСКАЯ";"6";;;;;"УЛ.КОМСОМОЛЬСКАЯ,6";;;"(38595)22195,22395";"X";"b095509c-2570-4775-ba2d-cd52a0ab863b"
;"банки";"040155000";"РКЦ РУБЦОВСК";"РКЦ РУБЦОВСК";"";"";"";"040155000";"22";"658200";"Г. РУБЦОВСК";"";"УЛ.К.МАРКСА";"172";"";"";"";"";"УЛ.К.МАРКСА,172";"";"";"(38557)42611,43315";"";"0effdebc-d794-4b65-b582-490439b57068"
;"банки";"040155754";"АКБ ""АЛТАЙБИЗНЕС-БАНК""";"АКБ ""АЛТАЙБИЗНЕС-БАНК""";"";"";"";"040155754";"22";"658210";"Г. РУБЦОВСК";;"УЛ.ЛЕНИНА";"206";;;;;"УЛ.ЛЕНИНА,206";"30101810800000000754";"";"(38557)44341,44320";"X";"cbd3a60d-c5f0-4da8-8346-fa13ea2ece19"
"блокировка 20160627";"банки";"040160000";"РКЦ СЛАВГОРОД";"РКЦ СЛАВГОРОД";"";"";"";"040160000";"22";"658820";"Г. СЛАВГОРОД";"";"УЛ.ВОЛОДАРСКОГО";"145/1";"";"";"";"";"УЛ.ВОЛОДАРСКОГО,145/1";"";"";"(38568)52509,52504";"X";"4c63770d-c8d4-4d27-af61-d8a760ba3fab"
;"банки";"040161000";"РКЦ КАМЕНЬ-НА-ОБИ";"РКЦ КАМЕНЬ-НА-ОБИ";"";"";"";"040161000";"22";"658700";"Г. КАМЕНЬ-НА-ОБИ";;"УЛ.ПУШКИНА";"20";;;;;"УЛ.ПУШКИНА,20";;;"(38514)23037,22876";"X";"1ca6b56c-822e-4f01-8ea5-c49476de243c"
;"банки";"040169000";"РКЦ АЛЕЙСК";"РКЦ АЛЕЙСК";"";"";"";"040169000";"22";"658130";"Г. АЛЕЙСК";;"УЛ.СОВЕТСКАЯ";"98";;;;;"УЛ.СОВЕТСКАЯ,98";;;"(38553)21402,20361";"X";"fb9863fd-5afa-4195-9e25-22b320472f8a"
;"банки";"040173001";"ОТДЕЛЕНИЕ БАРНАУЛ";"ОТДЕЛЕНИЕ БАРНАУЛ";"";"";"";"040173001";"22";"656031";"Г. БАРНАУЛ";"";"УЛ.КРУПСКОЙ";"91А";"";"";"";"";"УЛ.КРУПСКОЙ,91А";"";"";"(3852)388666,388679";"";"e894b4be-5888-4ac4-ae5b-72b586d54d7e"
"Бондарев 20160520";"банки";"040173604";"АЛТАЙСКОЕ ОТДЕЛЕНИЕ N8644 ПАО СБЕРБАНК";"АЛТАЙСКОЕ ОТДЕЛЕНИЕ N8644 ПАО СБЕРБАНК";"";"";;"040173604";"22";"656038";"Г. БАРНАУЛ";"";"ПР.КОМСОМОЛЬСКИЙ";"106А";"";"";"";"";"ПР.КОМСОМОЛЬСКИЙ,106А";"30101810200000000604";"";"(3852)399211,399466";;"d637895f-170e-4d67-ac38-5630faa9b5ce"
;"банки";"040173703";"ФИЛИАЛ N 2211 ВТБ 24 (ЗАО)";"ФИЛИАЛ N 2211 ВТБ 24 (ЗАО)";"";"";"";"040173703";"22";"656015";"Г. БАРНАУЛ";"";"ПР.ЛЕНИНА";"68";"";"";"";"";"ПР.ЛЕНИНА,68";"30101810701730000703";"";"(3852)289450,289343";"X";"b9a9904a-e106-467b-b838-d8f608f3bbf6"
"блокировка 20160627";"банки";"040173705";"ФИЛИАЛ ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ"" В СФО";"ФИЛИАЛ ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ"" В СФ";"О";"";"";"040173705";"22";"656038";"Г. БАРНАУЛ";"";"ПР.ЛЕНИНА";"44А";"";"";"";"";"ПР.ЛЕНИНА,44А";"30101810301730000705";"";"(3852)200575";"X";"55991b44-bb2a-4c2b-b293-a60b2167b218"
;"банки";"040173707";"БАРНАУЛЬСКИЙ ФИЛИАЛ КБ ""ЕВРОТРАСТ"" (ЗАО)";"БАРНАУЛЬСКИЙ ФИЛИАЛ КБ ""ЕВРОТРАСТ"" (ЗАО)";"";"";"";"040173707";"22";"656002";"Г. БАРНАУЛ";"";"УЛ.ПРОФИНТЕРНА";"38";"";"";"";"";"УЛ.ПРОФИНТЕРНА,38";"30101810000000000707";"";"(3852)610781,619195";"X";"7398155a-1f7a-4d47-aa9a-ecabe2d09db5"
;"банки";"040173709";"ФИЛИАЛ ОАО ""БИНБАНК"" В БАРНАУЛЕ";"ФИЛИАЛ ОАО ""БИНБАНК"" В БАРНАУЛЕ";"";"";"";"040173709";"22";"656015";"Г. БАРНАУЛ";;"ПР.СОЦИАЛИСТИЧЕСКИЙ";"130";;;;;"ПР.СОЦИАЛИСТИЧЕСКИЙ,130";"30101810600000000709";;"(3852)622428,622432";"X";"8871eee9-cd0f-4621-a2d5-08e723c2d266"
;"банки";"040173711";"ФИЛИАЛ ""БАРНАУЛЬСКИЙ"" ОАО АКБ ""АВАНГАРД""";"ФИЛИАЛ ""БАРНАУЛЬСКИЙ"" ОАО АКБ ""АВАНГАРД""";"";"";"";"040173711";"22";"656056";"Г. БАРНАУЛ";;"УЛ.ГОГОЛЯ";"83";;;;;"УЛ.ГОГОЛЯ,83";"30101810300000000711";;"(3852)634483,634346";"X";"a66f65f5-2a74-480b-a466-08896ed49ef7"
;"банки";"040173712";"ФИЛИАЛ ""БАРНАУЛЬСКИЙ"" ОАО ""СОБИНБАНК""";"ФИЛИАЛ ""БАРНАУЛЬСКИЙ"" ОАО ""СОБИНБАНК""";"";"";"";"040173712";"22";"656056";"Г. БАРНАУЛ";;"УЛ.ПАРТИЗАНСКАЯ";"44";;;;;"УЛ.ПАРТИЗАНСКАЯ,44";"30101810600000000712";;"(3852)666745,666847";"X";"fead0256-9449-44ed-91fa-c979c708b14f"
;"банки";"040173713";"ФИЛИАЛ ООО ""ЭКСПОБАНК"" В Г. БАРНАУЛЕ";"ФИЛИАЛ ООО ""ЭКСПОБАНК"" В Г. БАРНАУЛЕ";"";"";"";"040173713";"22";"656049";"Г. БАРНАУЛ";"";"ПЕР.ГЕБЛЕРА";"31";"";"";"";"";"ПЕР.ГЕБЛЕРА,31";"30101810900000000713";"";"(3852)367391";"X";"3574fdd3-a2d6-4870-bfcf-7be517ca8e3b"
"Бондарев 20170327 del";"банки";"040173720";"БАРНАУЛЬСКИЙ ФИЛИАЛ ПАО ""АК БАРС"" БАНК";"БАРНАУЛЬСКИЙ ФИЛИАЛ ПАО ""АК БАРС"" БАНК";"";"";"";"040173720";"22";"656049";"Г. БАРНАУЛ";"";"ПР.КРАСНОАРМЕЙСКИЙ";"75Б";"";"";"";"";"ПР.КРАСНОАРМЕЙСКИЙ,75Б";"30101810100000000720";"";"(3852)623098,623609";"X";"81cddde3-e225-4007-9638-121d49b76128"
"Киндяков 20180418 upd";"банки";"040173725";"КУ АКБ ""АЛТАЙБИЗНЕС-БАНК"" (АО) - ГК ""АСВ""";"КУ АКБ ""АЛТАЙБИЗНЕС-БАНК"" (АО) - ГК ""АСВ";;;;"040173001";"01";"656049";"МОСКВА";;"УЛ.ВЫСОЦКОГО";"4";;;;;"УЛ.ВЫСОЦКОГО,4";"30101810600000000725";;"(3852)555446,555448";;"0b33c00a-4108-4431-9edc-8c29a5e0aeb4"
;"банки";"040173733";"АЛТАЙСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";"АЛТАЙСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";"";"";"";"040173733";"22";"656015";"Г. БАРНАУЛ";"";"ПР.ЛЕНИНА";"80Б";"";"";"";"";"ПР.ЛЕНИНА,80Б";"30101810100000000733";"";"(3852)356939,356952";;"8dc54f74-88b5-4737-b7d4-8c2248623248"
"Бондарев 20161115 del";"банки";"040173735";"БАРНАУЛЬСКИЙ Ф БАНКА""ВОЗРОЖДЕНИЕ""(ПАО)";"БАРНАУЛЬСКИЙ Ф БАНКА""ВОЗРОЖДЕНИЕ""(ПАО)";"";"";"";"040173735";"22";"656064";"Г. БАРНАУЛ";"";"УЛ.АВТОТРАНСПОРТНАЯ";"43А";"";"";"";"";"УЛ.АВТОТРАНСПОРТНАЯ,43А";"30101810700000000735";"";"(3852)468620,461031";"X";"2778a432-1e3d-490c-aeeb-e56e33536fdf"
"Бондарев 20170929 del";"банки";"040173739";"Ф-Л БАНКА ""ТРАСТ"" (ПАО) В Г.БАРНАУЛ";"Ф-Л БАНКА ""ТРАСТ"" (ПАО) В Г.БАРНАУЛ";"";"";"";"040173739";"22";"656000";"Г. БАРНАУЛ";"";"УЛ.ИНТЕРНАЦИОНАЛЬНАЯ";"140";"";"";"";"";"УЛ.ИНТЕРНАЦИОНАЛЬНАЯ,140";"30101810900000000739";"";"(3852)384044";"X";"a6ecb4f4-d409-439f-8767-4066d0f86020"
